,0
ackley,ˈækli
ackworth,"ˈækwɜːθ
"
adair,ɐdˈɛ͡ɹ
adel,ɐdˈɛl
afton,ˈæftən
agency,"ˈe͡ɪd͡ʒənsi
"
ainsworth,ˈe͡ɪnswɜːθ
akron,"ˈækɹɑːn
"
albert city,"ˈælbɚt sˈɪɾi
"
albia,"ˈælbiə
"
albion,"ˈælbɪən
"
alburnett,"ˈælbɜːnɪt
"
alden,ˈɔːldən
alexander,ˌælɪɡzˈændɚ
algona,"ælɡˈo͡ʊnə
"
alleman,ɐlˈɛmən
allendorf,"ɐlˈɛndoː͡ɹf
"
allerton,"ˈælɚtən
"
allison,ˈælɪsən
alpha,ˈælfə
alta,ˈɔːltə
alta vista,"ˈɔːltə vˈɪstə
"
alton,ˈæltən
altoona,"æltˈuːnə
"
alvord,ˈælvoː͡ɹd
amana,æmˈɑːnə
ames,ˈe͡ɪmz
anamosa,"ˌænɐmˈo͡ʊsə
"
andover,"ˈændo͡ʊvɚ
"
andrew,ˈændɹuː
anita,ɐnˈiːɾə
ankeny,ˈæŋkɛni
anthon,ˈænθɑːn
aplington,"ɐplˈɪŋtən
"
arcadia,"ɑː͡ɹkˈe͡ɪdi͡ə
"
archer,ˈɑː͡ɹt͡ʃɚ
aredale,"ˈæɹɪdˌe͡ɪl
"
argyle,"ɑː͡ɹɡˈa͡ɪl
"
arion,ˈæɹi͡ən
arispe,ˈæɹɪsp
arlington,ˈɑː͡ɹlɪŋtən
armstrong,ˈɑː͡ɹmstɹɔŋ
arnolds park,"ˈɑː͡ɹnə͡ldz pˈɑː͡ɹk
"
arthur,ˈɑː͡ɹθɚ
asbury,ɐsbˈɛɹi
ashton,ˈæʃtən
aspinwall,"ˈæspɪnwˌɔːl
"
atalissa,"ˌæɾɐlˈɪsə
"
atkins,ˈætkɪnz
atlantic,"ɐtlˈæntɪk
"
auburn,"ˈɔːbɜːn
"
audubon,"ˈɔːdəbˌɑːn
"
aurelia,ˈɔːɹᵻlˌa͡ɪə
aurora,ɔːɹˈoːɹə
austinville,"ˈɔːstɪnvˌɪl
"
avoca,"ævˈo͡ʊkə
"
ayrshire,"ˈɛ͡ɹʃɚ
"
badger,bˈæd͡ʒɚ
bagley,bˈæɡli
baldwin,bˈɔːldwɪn
bancroft,bˈæŋkɹɔft
barnes city,"bˈɑː͡ɹnz sˈɪɾi
"
barnum,bˈɑː͡ɹnəm
bartlett,bˈɑː͡ɹtlɪt
bassett,bˈæsɪt
batavia,"bætˈe͡ɪvi͡ə
"
battle creek,"bˈæɾə͡l kɹˈiːk
"
baxter,bˈækstɚ
bayard,bˈe͡ɪɑː͡ɹd
beacon,"bˈiːkən
"
beaconsfield,"bˈiːkənsfˌiːld
"
beaman,bˈiːmən
beaver,bˈiːvɚ
bedford,bˈɛdfɚd
belle plaine,"bˈɛl plˈe͡ɪn
"
bellevue,"bˈɛlɪvjˌuː
"
belmond,bˈɛlmənd
bennett,bˈɛnɪt
benton,bˈɛntən
bernard,bɜːnˈɑː͡ɹd
berwick,bˈɛɹɪk
bettendorf,bˈɛtəndˌoː͡ɹf
bevington,bˈɛvɪŋtən
big rock,"bˈɪɡ ɹˈɑːk
"
bigelow,bˈɪd͡ʒɪlˌo͡ʊ
birmingham,bˈɜːmɪŋˌæm
blairsburg,"blˈɛ͡ɹsbɜːɡ
"
blairstown,"blˈɛ͡ɹsta͡ʊn
"
blakesburg,"blˈe͡ɪksbɜːɡ
"
blanchard,blˈænt͡ʃɚd
blencoe,"blˈɛŋko͡ʊ
"
blockton,"blˈɑːktən
"
bloomfield,blˈuːmfiːld
blue grass,"blˈuː ɡɹˈæs
"
bode,bˈo͡ʊd
bonaparte,"bˈɑːnɐpˌɑː͡ɹt
"
bondurant,bˈɑːnd͡ʒuːɹənt
boone,bˈuːn
booneville,"bˈuːnvɪl
"
bouton,bˈa͡ʊtən
boxholm,"bˈɑːksho͡ʊm
"
boyden,bˈɔ͡ɪdən
braddyville,"bɹˈædɪvˌɪl
"
bradford,bɹˈædfɚd
bradgate,"bɹˈædɡe͡ɪt
"
brandon,bɹˈændən
brayton,bɹˈe͡ɪtən
breda,bɹˈɛdə
bridgewater,bɹˈɪd͡ʒwɔːɾɚ
brighton,bɹˈa͡ɪtən
bristow,bɹˈɪsto͡ʊ
britt,bɹˈɪt
bronson,bɹˈɑːnsən
brooklyn,bɹˈʊklɪn
brunsville,"bɹˈʌnzvɪl
"
bryant,bɹˈa͡ɪənt
buckeye,"bˈʌka͡ɪ
"
buckingham,bˈʌkɪŋˌæm
buffalo,"bˈʌfəlˌo͡ʊ
"
buffalo center,"bˈʌfəlˌo͡ʊ sˈɛntɚ
"
burlington,"bˈɜːlɪŋtən
"
burnside,bˈɜːnsa͡ɪd
burt,bˈɜːt
bussey,bˈʌsi
calamus,"kˈælæməs
"
callender,kˈælɛndɚ
calmar,"kˈɑːmɚ
"
calumet,kˈæluːmɪt
camanche,"kˈæmænt͡ʃ
"
cambridge,kˈe͡ɪmbɹɪd͡ʒ
cantril,"kˈæntɹə͡l
"
carbon,"kˈɑː͡ɹbən
"
carlisle,kˈɑː͡ɹla͡ɪə͡l
carpenter,kˈɑː͡ɹpəntɚ
carroll,kˈæɹo͡ʊl
carson,kˈɑː͡ɹsən
carter lake,"kˈɑː͡ɹɾɚ lˈe͡ɪk
"
cascade,"kɐskˈe͡ɪd
"
casey,kˈe͡ɪsi
castalia,"kæstˈe͡ɪli͡ə
"
castana,"kæstˈɑːnə
"
cedar,sˈiːdɚ
cedar falls,"sˈiːdɚ fˈɔːlz
"
cedar rapids,"sˈiːdɚ ɹˈæpɪdz
"
center junction,"sˈɛntɚ d͡ʒˈʌŋkʃən
"
center point,"sˈɛntɚ pˈɔ͡ɪnt
"
centerville,"sˈɛntɚvˌɪl
"
central city,"sˈɛntɹə͡l sˈɪɾi
"
chapin,t͡ʃˈæpɪn
chariton,"t͡ʃˈæɹɪtən
"
charles city,"t͡ʃˈɑː͡ɹlz sˈɪɾi
"
charlotte,ʃˈɑː͡ɹlət
charter oak,"t͡ʃˈɑː͡ɹɾɚɹ ˈo͡ʊk
"
chatsworth,"t͡ʃˈætswɜːθ
"
chelsea,t͡ʃˈɛlsiː
cherokee,t͡ʃˈɛɹo͡ʊkˌiː
chester,t͡ʃˈɛstɚ
chillicothe,"t͡ʃˈɪlɪkˌɑːð
"
churdan,"t͡ʃˈɜːdən
"
cincinnati,"sˌɪnsɪnˈæɾi
"
city,"sˈɪɾi
"
clare,klˈɛ͡ɹ
clarence,klˈæɹəns
clarinda,klæɹˈɪndə
clarion,klˈæɹi͡ən
clarksville,"klˈɑː͡ɹkzvɪl
"
clayton,klˈe͡ɪtən
clear lake,"klˈɪ͡ɹ lˈe͡ɪk
"
clearfield,"klˈɪ͡ɹfiːld
"
cleghorn,klˈɛɡhɔː͡ɹn
clemons,klˈɛmənz
clermont,"klˈɜːmɔnt
"
climbing hill,"klˈa͡ɪmɪŋ hˈɪl
"
clinton,klˈɪntən
clio,klˈiːo͡ʊ
clive,klˈa͡ɪv
clutier,"kljˈuːɾiɚ
"
coatsville,"kˈo͡ʊtzvɪl
"
coggon,"kˈɑːɡən
"
coin,"kˈɔ͡ɪn
"
colesburg,"kˈo͡ʊlzbɜːɡ
"
colfax,"kˈɑːlfæks
"
college springs,"kˈɑːlɪd͡ʒ spɹˈɪŋz
"
collins,kˈɑːlᵻnz
colo,"kˈo͡ʊlo͡ʊ
"
columbia,kəlˈʌmbi͡ə
columbus city,"kəlˈʌmbəs sˈɪɾi
"
columbus jct,"kəlˈʌmbəs d͡ʒˌe͡ɪsˌiːtˈiː
"
columbus junction,"kəlˈʌmbəs d͡ʒˈʌŋkʃən
"
colwell,kˈɑːlwɛl
conesville,"kˈo͡ʊnzvɪl
"
conrad,kˈɑːnɹæd
conroy,kənɹˈɔ͡ɪ
coon rapids,"kˈuːn ɹˈæpɪdz
"
cooper,kˈuːpɚ
coralville,"kˈɔːɹə͡lvˌɪl
"
corning,kˈɔː͡ɹnɪŋ
correctionville,"kɚɹˈɛkʃənvˌɪl
"
corwith,"kˈɔː͡ɹwɪθ
"
corydon,kˈɔːɹɪdən
coulter,kˈo͡ʊltɚ
council bluffs,"kˈa͡ʊnsə͡l blˈʌfs
"
crawfordsville,"kɹˈɔːfɚdzvˌɪl
"
crescent,"kɹˈɛsənt
"
cresco,kɹˈɛsko͡ʊ
creston,kɹˈɛstən
cromwell,kɹˈɑːmwɛl
crystal lake,"kɹˈɪstə͡l lˈe͡ɪk
"
cumberland,kˈʌmbɚlənd
cumming,kˈʌmɪŋ
curlew,"kˈɜːluː
"
cushing,kˈʊʃɪŋ
cylinder,"sˈɪlɪndɚ
"
dakota city,"dɐkˈo͡ʊɾə sˈɪɾi
"
dallas center,"dˈæləs sˈɛntɚ
"
dana,dˈe͡ɪnə
danbury,"dˈænbɛɹi
"
danville,"dˈænvɪl
"
davenport,dˈævənpˌoː͡ɹt
davis city,"dˈe͡ɪvɪs sˈɪɾi
"
dawson,dˈɔːsən
dayton,dˈe͡ɪtən
de soto,də sˈo͡ʊɾo͡ʊ
decatur,"dᵻkˈe͡ɪɾɚ
"
decorah,"dˈɛkoːɹə
"
dedham,"dˈɛdæm
"
deep river,"dˈiːp ɹˈɪvɚ
"
defiance,"dᵻfˈa͡ɪ͡əns
"
delaware,dˈɛlɐwˌɛ͡ɹ
delhi,"dˈɛli
"
delmar,dˈɛlmɚ
deloit,"dᵻlˈɔ͡ɪt
"
delphos,"dˈɛlfo͡ʊz
"
delta,dˈɛltə
denison,dˈɛnɪsən
denmark,dˈɛnmɑː͡ɹk
denver,dˈɛnvɚ
derby,dˈɜːbi
des moines,"dəmˈɔ͡ɪn
"
desoto,"dᵻsˈo͡ʊɾo͡ʊ
"
dewar,dˈuːɔː͡ɹ
dewitt,dˈuːɪt
dexter,dˈɛkstɚ
diagonal,"da͡ɪˈæɡənə͡l
"
dickens,dˈɪkənz
dike,dˈa͡ɪk
dixon,dˈɪksən
dolliver,dˈɑːlɪvɚ
donahue,dˈɑːnɐhjˌuː
donnan,dˈɑːnən
donnellson,"dˈɑːnɛlsən
"
doon,"dˈuːn
"
dorchester,"dˈoː͡ɹt͡ʃɛstɚ
"
douds,"dˈa͡ʊdz
"
dougherty,dˈo͡ʊɚɾi
dow city,"dˈa͡ʊ sˈɪɾi
"
dows,"dˈa͡ʊz
"
drakesville,"dɹˈe͡ɪkzvɪl
"
dubuque,"dˈuːbjuːk
"
dumont,dˈuːmɔnt
duncombe,dˈʌŋkuːm
dundee,"dˈʌndiː
"
dunkerton,dˈʌŋkɚtən
dunlap,dˈʌnlæp
durango,"dʊ͡ɹɹˈæŋɡo͡ʊ
"
durant,dˈʊ͡ɹɹənt
dyersville,"dˈa͡ɪɚzvˌɪl
"
dysart,dˈa͡ɪsɑː͡ɹt
eagle grove,"ˈiːɡə͡l ɡɹˈo͡ʊv
"
earlham,"ˈɜːlæm
"
earling,ˈɜːlɪŋ
earlville,"ˈɜːlvɪl
"
early,ˈɜːli
east amana,"ˈiːst æmˈɑːnə
"
eddyville,"ˈɛdɪvˌɪl
"
edgewood,"ˈɛd͡ʒwʊd
"
elberon,"ˈɛlbɚɹən
"
eldon,ˈɛldən
eldora,ˈɛldoːɹə
eldorado,"ˌɛldoːɹˈɑːdo͡ʊ
"
eldridge,ˈɛldɹɪd͡ʒ
elgin,ˈɛld͡ʒɪn
elk horn,"ˈɛlk hˈɔː͡ɹn
"
elk run heights,"ˈɛlk ɹˈʌn hˈa͡ɪts
"
elkader,"ˈɛlke͡ɪdɚ
"
elkhart,"ˈɛlkɑː͡ɹt
"
elkport,"ˈɛlkpoː͡ɹt
"
elliott,ˈɛlɪət
ellston,ˈɛlstən
ellsworth,ˈɛlswɜːθ
elma,ˈɛlmə
elwood,ˈɛlwʊd
ely,ˈiːli
emerson,ˈɛmɚsən
emmetsburg,"ˈɛmɪtsbˌɜːɡ
"
epworth,"ˈɛpwɜːθ
"
essex,ˈɛsɪks
estherville,"ˈɛstɚvˌɪl
"
evansdale,"ɪvˈænsde͡ɪl
"
everly,ˌɛvɚlˈa͡ɪ
exira,"ɛɡzˈi͡əɹə
"
exline,ɛkslˈa͡ɪn
fairbank,fˈɛ͡ɹbæŋk
fairfax,fˈɛ͡ɹfæks
fairfield,fˈɛ͡ɹfiːld
farley,fˈɑː͡ɹli
farmersburg,"fˈɑː͡ɹmɚzbˌɜːɡ
"
farmington,"fˈɑː͡ɹmɪŋtən
"
farnhamville,"fˈɑː͡ɹnɐmvˌɪl
"
farragut,"fˈæɹɐɡˌʌt
"
farson,"fˈɑː͡ɹsən
"
fayette,fe͡ɪˈɛt
fenton,fˈɛntən
ferguson,fˈɜːɡəsən
fertile,"fˈɜːɾə͡l
"
festina,"fɛstˈiːnə
"
floris,"flˈɔːɹɪs
"
floyd,flˈɔ͡ɪd
fonda,fˈɑːndə
fontanelle,"fˌɔnte͡ɪnˈɛl
"
forest city,"fˈɔːɹɪst sˈɪɾi
"
fort dodge,"fˈɔː͡ɹt dˈɑːd͡ʒ
"
fostoria,"fəstˈoːɹi͡ə
"
fredericksburg,"fɹˈɛdɚɹˌɪksbɜːɡ
"
frederika,"fɹˈɛdɚɹˌɪkə
"
fremont,fɹˈɛmɔnt
fruitland,"fɹˈuːtlənd
"
ft atkinson,"ˌɛftˈiː ˈætkɪnsən
"
ft dodge,"ˌɛftˈiː dˈɑːd͡ʒ
"
ft madison,"ˌɛftˈiː mˈædɪsən
"
ft riley,"ˌɛftˈiː ɹˈa͡ɪli
"
galt,ɡˈɔlt
galva,"ɡˈælvə
"
garber,ɡˈɑː͡ɹbɚ
garden city,"ɡˈɑː͡ɹdən sˈɪɾi
"
garden grove,"ɡˈɑː͡ɹdən ɡɹˈo͡ʊv
"
garnavillo,"ɡˌɑː͡ɹnɐvˈɪlo͡ʊ
"
garner,ɡˈɑː͡ɹnɚ
garrison,ɡˈæɹɪsən
garwin,"ɡˈɑː͡ɹwɪn
"
geneva,d͡ʒənˈiːvə
george,d͡ʒˈɔː͡ɹd͡ʒ
germantown,"d͡ʒˈɜːməntˌa͡ʊn
"
gibson,ɡˈɪbsən
gifford,d͡ʒˈɪfɚd
gilbert,ɡˈɪlbɚt
gilbertville,"ɡˈɪlbɚtvˌɪl
"
gillett grove,"d͡ʒˈɪlɪt ɡɹˈo͡ʊv
"
gilman,ɡˈɪlmən
gilmore city,"ɡˈɪlmoː͡ɹ sˈɪɾi
"
gladbrook,"ɡlˈædbɹʊk
"
glenwood,ɡlˈɛnwʊd
glidden,ɡlˈɪdən
goldfield,"ɡˈo͡ʊldfiːld
"
goodell,ɡˈʊdɛl
goose lake,"ɡˈuːs lˈe͡ɪk
"
gowrie,"ɡˈa͡ʊɹi
"
graettinger,"ɡɹˈiːɾɪŋɡɚ
"
grafton,ɡɹˈæftən
grand junction,"ɡɹˈænd d͡ʒˈʌŋkʃən
"
grand mound,"ɡɹˈænd mˈa͡ʊnd
"
grand river,"ɡɹˈænd ɹˈɪvɚ
"
grandview,"ɡɹˈændvjuː
"
granger,ɡɹˈe͡ɪnd͡ʒɚ
grant,ɡɹˈænt
granville,ɡɹˈænvɪl
gravity,"ɡɹˈævᵻɾi
"
gray,ɡɹˈe͡ɪ
greeley,ɡɹˈiːli
green mountain,"ɡɹˈiːn mˈa͡ʊntɪn
"
greene,ɡɹˈiːn
greenfield,ɡɹˈiːnfiːld
greenville,"ɡɹˈiːnvɪl
"
grimes,ɡɹˈa͡ɪmz
grinnell,ɡɹˈɪnə͡l
griswold,ɡɹˈɪswo͡ʊld
grundy center,"ɡɹˈʌndi sˈɛntɚ
"
gruver,ɡɹˈuːvɚ
guernsey,ɡˈɜːnsi
guthrie center,"ɡˈʌθɹi sˈɛntɚ
"
guttenberg,"ɡˈʌtənbˌɜːɡ
"
halbur,hˈælbɜː
hamburg,hˈæmbɜːɡ
hamilton,hˈæmə͡ltən
hamlin,hˈæmlɪn
hampton,hˈæmptən
hancock,hˈæŋkɑːk
hanlontown,"hˈænləntˌa͡ʊn
"
hansell,hˈænsɛl
harcourt,hˈɑː͡ɹkoː͡ɹt
hardy,hˈɑː͡ɹdi
harlan,hˈɑː͡ɹlən
harper,hˈɑː͡ɹpɚ
harpers ferry,"hˈɑː͡ɹpɚz fˈɛɹi
"
harris,hˈæɹɪs
hartford,hˈɑː͡ɹtfɚd
hartley,hˈɑː͡ɹtli
hartwick,hˈɑː͡ɹtwɪk
harvey,hˈɑː͡ɹvi
hastings,hˈe͡ɪstɪŋz
havelock,"hˈe͡ɪvlɑːk
"
haverhill,"hˈævɚhˌɪl
"
hawarden,"hˈæwɔː͡ɹdən
"
hawkeye,"hˈɔːka͡ɪ
"
hayesville,"hˈe͡ɪzvɪl
"
hazleton,"hˈæzə͡ltən
"
hedrick,hˈɛdɹɪk
henderson,hˈɛndɚsən
hepburn,hˈɛpbɜːn
hiawatha,hˈa͡ɪəwˌɑːthə
high amana,"hˈa͡ɪ æmˈɑːnə
"
hills,hˈɪlz
hillsboro,"hˈɪlsbɚɹˌo͡ʊ
"
hinton,hˈɪntən
holland,hˈɑːlənd
holstein,hˈɑːlsta͡ɪn
holy cross,"hˈo͡ʊli kɹˈɔs
"
homestead,"hˈo͡ʊmstɛd
"
honey creek,"hˈʌni kɹˈiːk
"
hopkinton,"hˈɑːpkɪntən
"
hornick,"hˈoː͡ɹnɪk
"
hospers,"hˈɑːspɚz
"
houghton,hˈɔːtən
hubbard,hˈʌbɚd
hudson,hˈʌdsən
hull,hˈʌl
humboldt,"hˈʌmbo͡ʊldt
"
humeston,hjˈuːmɛstən
huxley,"hˈʌksli
"
ida grove,"ˈa͡ɪdə ɡɹˈo͡ʊv
"
imogene,ˈɪməd͡ʒən
independence,"ˌɪndᵻpˈɛndəns
"
indianola,"ˌɪndi͡ənˈo͡ʊlə
"
inwood,"ɪnwˈʊd
"
ionia,a͡ɪˈɑːni͡ə
iowa city,"ˈa͡ɪəwə sˈɪɾi
"
iowa falls,"ˈa͡ɪəwə fˈɔːlz
"
ira,ˈi͡əɹə
ireton,"ˈa͡ɪ͡ɚtən
"
irwin,ˈɜːwɪn
jackson junction,"d͡ʒˈæksən d͡ʒˈʌŋkʃən
"
jamaica,d͡ʒɐmˈe͡ɪkə
janesville,"d͡ʒˈe͡ɪnzvɪl
"
jefferson,d͡ʒˈɛfɚsən
jesup,d͡ʒˈɛsʌp
jewell,d͡ʒˈuːəl
johnston,d͡ʒˈɑːnstən
joice,d͡ʒˈɔ͡ɪs
jolley,d͡ʒˈɑːli
kalona,"kælˈo͡ʊnə
"
kamrar,"kˈæmɹɑː͡ɹ
"
kanawha,"kˈænɔːhə
"
kellerton,"kˈɛlɚtən
"
kelley,kˈɛli
kellogg,kˈɛlɑːɡ
kensett,"kˈɛnsɪt
"
kent,kˈɛnt
keokuk,"kɪˈo͡ʊkʌk
"
keosauqua,"kɪˈɑːsɔːkwə
"
keota,"kɪˈo͡ʊɾə
"
kesley,kˈɛsli
keswick,"kˈɛsɪk
"
keystone,"kˈiːsto͡ʊn
"
killduff,"kˈɪldʌf
"
kimballton,"kˈɪmbɔːltən
"
kingsley,kˈɪŋsli
kinross,"kˈɪnɹɔs
"
kirkman,kˈɜːkmən
kirkville,"kˈɜːkvɪl
"
kiron,kˈa͡ɪ͡ɚn
klemme,klˈɛm
knierim,"nˈɪɹɪm
"
knoxville,"nˈɑːksvɪl
"
la motte,lˌæ mˈɑːt
la porte city,"lˌæ pˈoː͡ɹt sˈɪɾi
"
lacona,lækˈo͡ʊnə
ladora,"lˈædoːɹə
"
lake city,"lˈe͡ɪk sˈɪɾi
"
lake mills,"lˈe͡ɪk mˈɪlz
"
lake park,"lˈe͡ɪk pˈɑː͡ɹk
"
lake view,"lˈe͡ɪk vjˈuː
"
lakeside,"lˈe͡ɪksa͡ɪd
"
lakota,lækˈo͡ʊɾə
lamoni,"lˈæmˌɑːni
"
lamont,lˈæmɔnt
lamotte,lˈæmɑːt
lanesboro,"lˈe͡ɪnsbɚɹˌo͡ʊ
"
langworthy,lˈæŋwɜːði
lansing,lˈænsɪŋ
laporte city,"lˈæpoː͡ɹt sˈɪɾi
"
larchwood,"lˈɑː͡ɹt͡ʃwʊd
"
larrabee,"lˈæɹɐbˌiː
"
latimer,lˈæɾɪmɚ
laurel,lˈɔːɹə͡l
laurens,"lˈɔːɹənz
"
lawler,lˈɔːlɚ
lawton,lˈɔːtən
le mars,"lə mˈɑː͡ɹz
"
leclaire,lɛklˈɛ͡ɹ
ledyard,lˈɛdjɑː͡ɹd
legrand,lˈɛɡɹænd
lehigh,lˈɛha͡ɪ
leighton,lˈiːtən
leland,lˈɛlənd
lenox,lˈɛnɑːks
leon,lˈiːɑːn
lester,lˈɛstɚ
letts,lˈɛts
lewis,lˈuːɪs
