,0
liberty center,"lˈɪbɚɾi sˈɛntɚ
"
libertyville,"lˈɪbɚɾivˌɪl
"
lidderdale,"lˈɪdɚdˌe͡ɪl
"
lime springs,"lˈa͡ɪm spɹˈɪŋz
"
lincoln,lˈɪŋkən
linden,lˈɪndən
lineville,"lˈa͡ɪnvɪl
"
linn grove,"lˈɪn ɡɹˈo͡ʊv
"
lisbon,lˈɪsbən
liscomb,"lˈɪsko͡ʊm
"
little cedar,"lˈɪɾə͡l sˈiːdɚ
"
little rock,"lˈɪɾə͡l ɹˈɑːk
"
little sioux,"lˈɪɾə͡l sˈuː
"
littleport,"lˈɪɾə͡lpˌoː͡ɹt
"
livermore,lˈɪvɚmˌoː͡ɹ
lockridge,lˈɑːkɹɪd͡ʒ
logan,lˈo͡ʊɡən
lohrville,"lˈo͡ʊrvɪl
"
lone rock,"lˈo͡ʊn ɹˈɑːk
"
lone tree,"lˈo͡ʊn tɹˈiː
"
long grove,"lˈɔŋ ɡɹˈo͡ʊv
"
lorimor,lˈoːɹɪmɚ
lost nation,"lˈɔst nˈe͡ɪʃən
"
lovilia,"lʌvˈɪli͡ə
"
low moor,"lˈo͡ʊ mˈʊ͡ɹ
"
lowden,lˈo͡ʊdən
luana,luːˈɑːnə
lucas,lˈuːkəz
luther,lˈuːðɚ
luverne,lˈuːvɚn
luxemburg,"lˈʌksəmbˌɜːɡ
"
luzerne,lˈuːzɚn
lynnville,"lˈɪnvɪl
"
lytton,lˈɪʔn̩
macedonia,"mˌæsɪdˈo͡ʊni͡ə
"
macksburg,"mˈæksbɜːɡ
"
madrid,mədɹˈɪd
magnolia,mæɡnˈo͡ʊli͡ə
malcom,mˈælkɑːm
mallard,mˈælɑː͡ɹd
maloy,mˈælɔ͡ɪ
malvern,mˈɔːlvɚn
manchester,mˈænt͡ʃɛstɚ
manilla,"mænˈɪlə
"
manly,mˈænli
manning,mˈænɪŋ
manson,mˈænsən
mapleton,"mˈe͡ɪpə͡ltən
"
maquoketa,"mˈækwo͡ʊktə
"
marathon,"mˈæɹəθˌɑːn
"
marble rock,"mˈɑː͡ɹbə͡l ɹˈɑːk
"
marcus,mˈɑː͡ɹkəs
marengo,"mæɹˈɛŋɡo͡ʊ
"
marion,mˈæɹi͡ən
marne,mˈɑː͡ɹn
marquette,mɑː͡ɹkˈɛt
marshalltown,"mˈɑː͡ɹʃə͡ltˌa͡ʊn
"
martelle,"mɑː͡ɹtˈɛl
"
martensdale,"mˈɑː͡ɹtənsdˌe͡ɪl
"
martinsburg,"mˈɑː͡ɹtɪnzbˌɜːɡ
"
mason city,"mˈe͡ɪsən sˈɪɾi
"
masonville,"mˈe͡ɪsənvˌɪl
"
massena,"mæsˈiːnə
"
matlock,mˈætlɑːk
maurice,mˈɔːɹɪs
maxwell,mˈækswɛl
may city,"mˈe͡ɪ sˈɪɾi
"
maynard,mˈe͡ɪnɑː͡ɹd
maysville,"mˈe͡ɪzvɪl
"
mccallsburg,"məkˈɔːlsbɜːɡ
"
mccausland,məkˈɔːslənd
mcclelland,məkə͡llˈænd
mcgregor,məɡɹˈɛɡɚ
mcintire,mˈækɪntˌa͡ɪ͡ɚ
mechanicsville,"mᵻkˈænɪkzvˌɪl
"
mediapolis,"miːdˈiːəpəlˌɪs
"
melbourne,mˈɛlbɚn
melcher-dallas,"mˈɛlt͡ʃɚdˈæləs
"
melrose,mˈɛlɹo͡ʊz
melvin,mˈɛlvɪn
menlo,"mˈɛnlo͡ʊ
"
meriden,"mˈɛɹa͡ɪdən
"
merrill,mˈɛɹɪl
meservey,"mˈɛsɚvˌe͡ɪ
"
middle,mˈɪdə͡l
middle amana,"mˈɪdə͡l æmˈɑːnə
"
middletown,"mˈɪdə͡ltˌa͡ʊn
"
miles,mˈa͡ɪlz
milford,mˈɪlfɚd
millersburg,"mˈɪlɚzbˌɜːɡ
"
millerton,"mˈɪlɚtən
"
milo,mˈa͡ɪlo͡ʊ
milton,mˈɪltən
minburn,"mˈɪnbɜːn
"
minden,mˈa͡ɪndən
mineola,"mˌɪniːˈo͡ʊlə
"
mingo,mˈɪŋɡo͡ʊ
missouri valley,"mɪzˈʊ͡ɹɹi vˈæli
"
mitchell,mˈɪt͡ʃə͡l
mitchellville,"mˈɪt͡ʃə͡lvˌɪl
"
modale,"mˈo͡ʊde͡ɪl
"
mondamin,"mˈɔndɐmˌɪn
"
moneta,"mˈɑːnɪɾə
"
monmouth,"mˈɔnməθ
"
monona,"mˈɑːno͡ʊnə
"
monroe,mˈɔnɹo͡ʊ
montezuma,"mˌɔntɪzˈuːmə
"
monticello,"mɔntˈa͡ɪsə͡lˌo͡ʊ
"
montour,mˈɔntʊ͡ɹ
montpelier,"mˈɔntpɪliɚ
"
montrose,mˈɔntɹo͡ʊz
moorhead,mˈʊ͡ɹhɛd
moorland,"mˈʊ͡ɹlənd
"
moravia,"mɔːɹˈe͡ɪvi͡ə
"
morley,mˈɔː͡ɹli
morning sun,"mˈɔː͡ɹnɪŋ sˈʌn
"
morrison,mˈɔːɹɪsən
moscow,"mˈɑːsko͡ʊ
"
moulton,mˈo͡ʊltən
mount vernon,"mˈa͡ʊnt vˈɜːnən
"
moville,"mˈuːvɪl
"
mt auburn,"ˌɛmtˈiː ˈɔːbɜːn
"
mt ayr,"ˌɛmtˈiː ˈɛ͡ɹ
"
mt pleasant,"ˌɛmtˈiː plˈɛzənt
"
mt sterling,"ˌɛmtˈiː stˈɜːlɪŋ
"
mt union,"ˌɛmtˈiː jˈuːni͡ən
"
murray,mˈɜːɹe͡ɪ
muscatine,"mˈʌskɐtˌiːn
"
mystic,mˈɪstɪk
nashua,"nˈæʃjuːə
"
nemaha,"nɛmˈɑːhə
"
neola,nˈiːo͡ʊlə
nevada,nᵻvˈædə
new albin,"nˈuː ˈælbɪn
"
new hampton,"nˈuː hˈæmptən
"
new hartford,"nˈuː hˈɑː͡ɹtfɚd
"
new liberty,"nˈuː lˈɪbɚɾi
"
new london,"nˈuː lˈʌndən
"
new market,"nˈuː mˈɑː͡ɹkɪt
"
new providence,"nˈuː pɹˈɑːvɪdəns
"
new sharon,"nˈuː ʃˈæɹən
"
new vienna,"nˈuː vɪˈɛnə
"
new virginia,"nˈuː vɜːd͡ʒˈɪni͡ə
"
newell,nˈuːɛl
newhall,nˈuːhɔːl
newton,nˈuːtən
nichols,nˈɪkə͡lz
nodaway,"nˈɑːdəwˌe͡ɪ
"
nora springs,"nˈoːɹə spɹˈɪŋz
"
north buena vista,"nˈɔː͡ɹθ bjˈuːənə vˈɪstə
"
north english,"nˈɔː͡ɹθ ˈɪŋɡlɪʃ
"
north liberty,"nˈɔː͡ɹθ lˈɪbɚɾi
"
northboro,"nˈɔː͡ɹθbɚɹˌo͡ʊ
"
northwood,"nˈɔː͡ɹθwʊd
"
norwalk,"nˈoː͡ɹwɔːk
"
norway,"nˈoː͡ɹwe͡ɪ
"
numa,"nˈuːmə
"
oakland,ˈo͡ʊklənd
oakville,"ˈo͡ʊkvɪl
"
ocheyedan,"ˈɑːʃe͡ɪdən
"
odebolt,"ˈo͡ʊdɪbˌo͡ʊlt
"
oelwein,"ˈo͡ʊlwiːn
"
ogden,ˈɑːɡdən
okoboji,"ˌɑːkəbˈo͡ʊd͡ʒi
"
olds,ˈo͡ʊldz
olin,ˈɑːlɪn
ollie,ˈɑːli
onawa,"ɑːnˈɑːwə
"
onslow,"ˈɑːnslo͡ʊ
"
oran,ˈoːɹən
orange city,"ˈɔɹɪnd͡ʒ sˈɪɾi
"
orchard,ˈɔː͡ɹt͡ʃɚd
orient,"ˈoːɹi͡ənt
"
orleans,"ˈɔː͡ɹli͡ənz
"
osage,"ˈɑːsɪd͡ʒ
"
osceola,"ˌɑːsɪˈo͡ʊlə
"
oskaloosa,"ˈɑːskɐlˌuːsə
"
ossian,ˈɑːʃən
otho,ˈɑːθo͡ʊ
otley,"ˈɑːtli
"
oto,"ˈo͡ʊɾo͡ʊ
"
ottosen,"ˈɑːɾo͡ʊzən
"
ottumwa,"ˈɑːɾʌmwə
"
owasa,"o͡ʊˈɑːsə
"
oxford,ˈɑːksfɚd
oxford junction,"ˈɑːksfɚd d͡ʒˈʌŋkʃən
"
oyens,"ˈɔ͡ɪənz
"
pacific jct,"pɐsˈɪfɪk d͡ʒˌe͡ɪsˌiːtˈiː
"
pacific junction,"pɐsˈɪfɪk d͡ʒˈʌŋkʃən
"
packwood,"pˈækwʊd
"
palmer,pˈɑːmɚ
palo,"pˈɑːlo͡ʊ
"
panama,"pˈænəmˌɑː
"
panora,"pˈænoːɹə
"
parkersburg,"pˈɑː͡ɹkɚzbˌɜːɡ
"
parnell,pɑː͡ɹnˈɛl
paton,pˈætən
patterson,pˈæɾɚsən
paullina,pɔːlˈiːnə
pella,"pˈɛlə
"
peosta,"pɪˈɑːstə
"
percival,pˈɜːsɪvə͡l
perry,pˈɛɹi
persia,"pˈɜːʒə
"
peru,"pɚɹˈuː
"
peterson,pˈiːɾɚsən
pierson,pˈɪ͡ɹsən
pilot grove,"pˈa͡ɪlət ɡɹˈo͡ʊv
"
pilot mound,"pˈa͡ɪlət mˈa͡ʊnd
"
pisgah,"pˈɪsɡə
"
plainfield,"plˈe͡ɪnfiːld
"
plano,"plˈɑːno͡ʊ
"
pleasant hill,"plˈɛzənt hˈɪl
"
pleasant valley,"plˈɛzənt vˈæli
"
pleasantville,"plˈɛzəntvˌɪl
"
plover,"plˈʌvɚ
"
plymouth,"plˈɪməθ
"
pocahontas,"pˈɑːkɐhˌɔntəz
"
polk city,"pˈɑːlk sˈɪɾi
"
pomeroy,pˈɑːmɚɹˌɔ͡ɪ
popejoy,pˈo͡ʊpd͡ʒɔ͡ɪ
portsmouth,"pˈoː͡ɹtsməθ
"
postville,"pˈo͡ʊstvɪl
"
prairie city,"pɹˈɛɹi sˈɪɾi
"
prairieburg,"pɹˈɛɹibˌɜːɡ
"
prescott,pɹˈɛskɑːt
preston,pɹˈɛstən
primghar,"pɹˈɪmɡɑː͡ɹ
"
princeton,"pɹˈɪnstən
"
prole,"pɹˈo͡ʊl
"
promise city,"pɹˈɑːmɪs sˈɪɾi
"
protivin,"pɹˈɑːɾɪvˌɪn
"
pulaski,"pjʊlˈæski
"
quasqueton,"kwˈæskwɛtən
"
quimby,kwˈɪmbi
radcliffe,ɹˈædklɪf
rake,ɹˈe͡ɪk
ralston,ɹˈælstən
randalia,"ɹændˈe͡ɪli͡ə
"
randall,ɹˈændɔːl
randolph,ɹˈændɑːlf
rathbun,ɹˈæθbʌn
raymond,ɹˈe͡ɪmənd
readlyn,"ɹˈiːdlɪn
"
reasnor,"ɹˈiːsnɚ
"
red oak,"ɹˈɛd ˈo͡ʊk
"
redding,ɹˈɛdɪŋ
redfield,ɹˈɛdfiːld
reinbeck,"ɹˌiːˈɪnbɛk
"
rembrandt,"ɹᵻmbɹˈænt
"
remsen,"ɹᵻmsˈɛn
"
renwick,ɹˈɛnwɪk
rhodes,ɹˈo͡ʊdz
riceville,"ɹˈa͡ɪsvɪl
"
richland,"ɹˈɪt͡ʃlənd
"
ricketts,ɹˈɪkɪts
ridgeway,ɹˈɪd͡ʒwe͡ɪ
rinard,ɹˈɪnɑː͡ɹd
ringsted,"ɹˈɪŋstᵻd
"
rippey,ɹˈɪpi
riverdale,"ɹˈɪvɚdˌe͡ɪl
"
riverside,"ɹˈɪvɚsˌa͡ɪd
"
riverton,"ɹˈɪvɜːtən
"
robins,ɹˈɑːbɪnz
rock falls,"ɹˈɑːk fˈɔːlz
"
rock rapids,"ɹˈɑːk ɹˈæpɪdz
"
rock valley,"ɹˈɑːk vˈæli
"
rockford,ɹˈɑːkfɚd
rockwell,ɹˈɑːkwɛl
rockwell city,"ɹˈɑːkwɛl sˈɪɾi
"
rodney,ɹˈɑːdni
roland,ɹˈo͡ʊlənd
rolfe,ɹˈɑːlf
rome,ɹˈo͡ʊm
rose hill,"ɹˈo͡ʊz hˈɪl
"
rossie,"ɹˈɔsi
"
rowan,ɹˈo͡ʊən
rowley,ɹˈo͡ʊli
royal,ɹˈɔ͡ɪə͡l
rudd,ɹˈʌd
runnells,"ɹˈʌnə͡lz
"
russell,ɹˈʌsə͡l
ruthven,"ɹˈuːθvən
"
rutland,"ɹˈʌtlənd
"
ryan,ɹˈa͡ɪən
sabula,"sˈæbjʊlə
"
sac city,"sˈæk sˈɪɾi
"
salem,sˈe͡ɪləm
salix,"sˈælɪks
"
sanborn,sˈænbɔː͡ɹn
scarville,"skˈɑː͡ɹvɪl
"
schaller,ʃˈɔːlɚ
schleswig,"ʃlˈɛswɪɡ
"
scotch grove,"skˈɑːt͡ʃ ɡɹˈo͡ʊv
"
scranton,skɹˈæntən
searsboro,"sˈɪ͡ɹsbɚɹˌo͡ʊ
"
selma,sˈɛlmə
sergeant bluff,"sˈɑː͡ɹd͡ʒənt blˈʌf
"
seymour,sˈiːmoː͡ɹ
shambaugh,ʃˈæmbɔː
shannon city,"ʃˈænən sˈɪɾi
"
sharpsburg,"ʃˈɑː͡ɹpsbɜːɡ
"
sheffield,ʃˈɛfiːld
shelby,ʃˈɛlbi
sheldahl,ʃˈɛldɑːl
sheldon,ʃˈɛldən
shell rock,"ʃˈɛl ɹˈɑːk
"
shellsburg,"ʃˈɛlsbɜːɡ
"
shenandoah,ʃˈɛnɐndˌo͡ʊ
sherrill,ʃˈɛɹɪl
sibley,sˈɪbli
sidney,sˈɪdni
sigourney,sˈɪɡɜːni
silver city,"sˈɪlvɚ sˈɪɾi
"
sioux center,"sˈuː sˈɛntɚ
"
sioux city,"sˈuː sˈɪɾi
"
sioux rapids,"sˈuː ɹˈæpɪdz
"
slater,slˈe͡ɪɾɚ
sloan,slˈo͡ʊn
smithland,"smˈɪθlənd
"
soldier,"sˈo͡ʊld͡ʒɚ
"
solon,sˈɑːlɑːn
somers,sˈʌmɚz
south amana,"sˈa͡ʊθ æmˈɑːnə
"
south english,"sˈa͡ʊθ ˈɪŋɡlɪʃ
"
spencer,spˈɛnsɚ
sperry,spˈɛɹi
spillville,"spˈɪlvɪl
"
spirit lake,"spˈɪɹɪt lˈe͡ɪk
"
spragueville,"spɹˈe͡ɪɡvɪl
"
spring hill,"spɹˈɪŋ hˈɪl
"
springbrook,"spɹˈɪŋbɹʊk
"
springville,"spɹˈɪŋvɪl
"
st ansgar,"sənt ˈænsɡɚ
"
st anthony,"sənt ˈænθəni
"
st charles,"sənt t͡ʃˈɑː͡ɹlz
"
st donatus,"sənt do͡ʊnˈæɾəs
"
st lucas,"sənt lˈuːkəz
"
st marys,"sənt mˈɛɹiz
"
st olaf,"sənt ˈo͡ʊlæf
"
st paul,"sənt pˈɔːl
"
stacyville,"stˈe͡ɪsivˌɪl
"
stanhope,stˈænho͡ʊp
stanley,stˈænli
stanton,stˈæntən
stanwood,"stˈænwʊd
"
state center,"stˈe͡ɪt sˈɛntɚ
"
steamboat rock,"stˈiːmbo͡ʊt ɹˈɑːk
"
stockport,"stˈɑːkpoː͡ɹt
"
stockton,stˈɑːktən
storm lake,"stˈoː͡ɹm lˈe͡ɪk
"
story city,"stˈoːɹi sˈɪɾi
"
stout,stˈa͡ʊt
stratford,"stɹˈætfɚd
"
strawberry point,"stɹˈɔːbɛɹi pˈɔ͡ɪnt
"
struble,stɹˈʌbə͡l
stuart,stˈuːɚt
sully,"sˈʌli
"
sumner,sˈʌmnɚ
superior,"suːpˈi͡əɹɪɚ
"
sutherland,sˈʌðɜːlənd
swaledale,"swˈælɪdˌe͡ɪl
"
swan,swˈɑːn
swea city,"swˈiː sˈɪɾi
"
swedesburg,"swˈiːdzbɜːɡ
"
swisher,swˈɪʃɚ
tabor,tˈæbɚ
tama,tˈɑːmə
teeds grove,"tˈiːdz ɡɹˈo͡ʊv
"
templeton,tˈɛmpə͡ltən
tennant,tˈɛnənt
terril,tˈɛɹə͡l
thayer,θˈe͡ɪɚ
thompson,tˈɑːmpsən
thor,θˈoː͡ɹ
thornburg,θˈɔː͡ɹnbɜːɡ
thornton,θˈoː͡ɹntən
thurman,θˈɜːmən
tiffin,tˈɪfɪn
tingley,tˈɪŋɡli
tipton,tˈɪptən
titonka,"tˈɪtɔŋkə
"
toddville,"tˈɑːdvɪl
"
toeterville,"tˈo͡ʊɾɚvˌɪl
"
toledo,tɑːlˈiːdo͡ʊ
toronto,"tɚɹˈɑːnto͡ʊ
"
tracy,tɹˈe͡ɪsi
traer,"tɹˈɑː͡ɹ
"
treynor,tɹˈe͡ɪnɚ
tripoli,"tɹˈɪpəli
"
troy mills,"tɹˈɔ͡ɪ mˈɪlz
"
truesdale,tɹˈuːzde͡ɪl
truro,"tɹˈʊ͡ɹɹo͡ʊ
"
turin,"tjɚɹˈɪn
"
udell,jˈuːdɛl
underwood,ˌʌndɚwˈʊd
union,jˈuːni͡ən
unionville,"jˈuːni͡ənvˌɪl
"
university park,"jˌuːnɪvˈɜːsᵻɾi pˈɑː͡ɹk
"
urbana,"ɜːbˈɑːnə
"
urbandale,"ˈɜːbɐndˌe͡ɪl
"
ute,"jˈuːt
"
vail,vˈe͡ɪl
valley springs,"vˈæli spɹˈɪŋz
"
van horne,"vˈæn hˈoː͡ɹn
"
van meter,vˈæn mˈiːɾɚ
van wert,"vˈæn wˈɜːt
"
varina,"vɑː͡ɹɹˈiːnə
"
vedic city,"vˈɛdɪk sˈɪɾi
"
ventura,vɛntˈʊ͡ɹɹə
victor,vˈɪktɚ
villisca,"vˈɪlɪskə
"
vincent,vˈɪnsənt
vining,vˈa͡ɪnɪŋ
vinton,vˈɪntən
volga,"vˈɑːlɡə
"
voorhies,vˈoː͡ɹhiz
wadena,"wædˈiːnə
"
wahpeton,"wˈɑːpɛtən
"
walcott,wˈɔlkɑːt
walford,wˈælfɚd
walker,wˈɔːkɚ
wall lake,"wˈɔːl lˈe͡ɪk
"
wallingford,wˈɔlɪŋfɚd
walnut,"wˈɔːlnʌt
"
wapello,"wˈe͡ɪpə͡lˌo͡ʊ
"
washburn,wˈɑːʃbɜːn
washington,wˈɑːʃɪŋtən
washta,"wˈɑːʃtə
"
waterloo,"wˈɔːɾɚlˌuː
"
waterville,"wˈɔːɾɚvˌɪl
"
watkins,wˈɑːtkɪnz
waucoma,"wɔːkˈo͡ʊmə
"
waukee,"wˈɔːkiː
"
waukon,"wˈɔːkən
"
waverly,wˈe͡ɪvɚli
wayland,wˈe͡ɪlænd
webb,wˈɛb
webster,wˈɛbstɚ
webster city,"wˈɛbstɚ sˈɪɾi
"
weldon,wˈɛldən
wellman,wˈɛlmən
wellsburg,"wˈɛlsbɜːɡ
"
welton,wˈɛltən
wesley,wˈɛsli
west amana,"wˈɛst æmˈɑːnə
"
west bend,"wˈɛst bˈɛnd
"
west branch,"wˈɛst bɹˈænt͡ʃ
"
west burlington,"wˈɛst bˈɜːlɪŋtən
"
west chester,"wˈɛst t͡ʃˈɛstɚ
"
west des moines,"wˈɛst dəmˈɔ͡ɪn
"
west liberty,"wˈɛst lˈɪbɚɾi
"
west okoboji,"wˈɛst ˌɑːkəbˈo͡ʊd͡ʒi
"
west point,"wˈɛst pˈɔ͡ɪnt
"
west union,"wˈɛst jˈuːni͡ən
"
westfield,wˈɛstfiːld
westgate,wˈɛstɡe͡ɪt
westphalia,"wɛstfˈe͡ɪli͡ə
"
westside,"wˈɛstsa͡ɪd
"
wever,wˈɛvɚ
what cheer,"wˌʌt t͡ʃˈɪ͡ɹ
"
wheatland,"wˈiːtlənd
"
whiting,wˈa͡ɪɾɪŋ
whittemore,wˈɪɾɪmˌoː͡ɹ
whitten,wˈɪʔn̩
williams,wˈɪljəmz
williamsburg,"wˈɪljəmsbˌɜːɡ
"
williamson,wˈɪljəmsən
wilton,wˈɪltən
windsor heights,"wˈɪndsɚ hˈa͡ɪts
"
winfield,wˈɪnfiːld
winterset,"wˈɪntɚsˌɛt
"
winthrop,wˈɪnθɹɑːp
wiota,"wɪˈo͡ʊɾə
"
woden,"wˈo͡ʊdən
"
woodbine,"wˈʊdba͡ɪn
"
woodburn,wˈʊdbɜːn
woodward,wˈʊdwɚd
woolstock,"wˈʊlstɑːk
"
worthington,wˈɜːðɪŋtən
wyoming,"wa͡ɪˈo͡ʊmɪŋ
"
yale,jˈe͡ɪl
yarmouth,"jˈɑː͡ɹməθ
"
yetter,jˈɛɾɚ
yorktown,"jˈɔː͡ɹkta͡ʊn
"
zearing,"zˈɪɹɪŋ
"
zwingle,"zwˈɪŋɡə͡l
"
